Age,Sex,JOB,HOUSING,Savings account$Checking account,Credit amount,Duration,Purpose,risk
29,female,skilled,OWN,little/little,1893,12,car,0
57,female,highly skilled,RENT,rich/little,1231,24,radio/TV,0
49,male,unskilled,OWN,little/rich,3656,30,radio/TV,0
37,male,unskilled,OWN,little/moderate,1154,9,radio/TV,0
45,male,unskilled,OWN,little/little,4006,28,car,1
30,male,skilled,FREE,moderate/moderate,3069,24,furniture/equipment,0
30,male,skilled,RENT,little/little,1740,6,radio/TV,0
47,male,skilled,OWN,little/moderate,2353,21,car,0
29,male,skilled,OWN,little/moderate,3556,15,car,0
35,male,skilled,OWN,quite rich/moderate,2397,24,radio/TV,1
22,male,unskilled,OWN,little/moderate,454,6,repairs,0
26,female,skilled,OWN,little/moderate,1715,30,radio/TV,0
23,male,unskilled,OWN,quite rich/moderate,2520,27,radio/TV,1
54,female,highly skilled,RENT,little/little,3568,15,radio/TV,0
29,male,skilled,RENT,little/moderate,7166,42,radio/TV,0
40,male,unskilled,OWN,little/little,3939,11,car,0
22,male,skilled,OWN,moderate/moderate,1514,15,repairs,0
43,male,unskilled,OWN,little/little,7393,24,car,0
29,female,unskilled,RENT,little/little,1193,24,car,1
36,male,skilled,RENT,little/little,7297,60,business,1
33,female,skilled,OWN,little/little,2831,30,radio/TV,0
57,female,unskilled,OWN,quite rich/rich,1258,24,radio/TV,0
64,female,skilled,OWN,little/moderate,753,6,radio/TV,0
42,male,skilled,OWN,little/moderate,2427,18,business,0
47,male,unskilled,OWN,little/little,2538,24,car,1
25,male,skilled,RENT,moderate/moderate,1264,15,car,1
49,male,skilled,OWN,little/moderate,8386,30,furniture/equipment,1
33,male,highly skilled,RENT,little/little,4844,48,business,1
28,female,highly skilled,OWN,moderate/rich,2923,21,car,0
26,male,skilled,OWN,little/little,8229,36,car,1
30,male,unskilled,OWN,little/little,2028,24,furniture/equipment,0
25,female,skilled,RENT,little/little,1433,15,furniture/equipment,0
33,male,skilled,OWN,little/rich,6289,42,business,0
64,female,skilled,OWN,moderate/moderate,1409,13,radio/TV,0
29,male,highly skilled,FREE,little/little,6579,24,car,0
48,male,unskilled,OWN,little/moderate,1743,24,radio/TV,0
37,male,unskilled,OWN,little/moderate,3565,12,education,0
34,male,unskilled,OWN,moderate/moderate,1569,15,radio/TV,0
23,male,unskilled,RENT,little/little,1936,18,radio/TV,0
30,male,highly skilled,OWN,little/little,3959,36,furniture/equipment,0
50,male,skilled,OWN,little/moderate,2390,12,car,0
31,female,unskilled,OWN,little/little,1736,12,furniture/equipment,0
40,male,highly skilled,OWN,little/little,3857,30,car,0
38,male,skilled,OWN,little/little,804,12,radio/TV,0
23,male,skilled,FREE,little/little,1845,45,radio/TV,1
27,male,skilled,OWN,moderate/moderate,4576,45,car,0
30,male,unskilled,OWN,little/little,2028,24,furniture/equipment,0
33,male,skilled,OWN,rich/moderate,1543,6,furniture/equipment,0
28,female,skilled,OWN,little/little,1817,18,furniture/equipment,0
36,female,skilled,OWN,little/little,1028,18,car,0
